beam,Node,F_predict,G_predict,Close0.01,Close0.001,R2,MSE,MAPE
0,0,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,0.20472948722859508,351786.5169020892,2.4947352702403505
0,1,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-7.405032616142968,301785.7946492185,3.83056818000431
0,2,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-30.264310129258522,299657.7026687424,1.315123558433715
0,3,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-41.90944874728661,324093.2696720016,1.0322622108366175
0,4,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-38.93917078347708,335579.9271233671,1.0387607316116918
0,5,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,0.922371145694708,329784.1420870351,1.421458813794676
0,6,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-24.713476795992367,335189.08290989505,1.360053200963807
0,7,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-42.282243952484485,333260.82389338664,1.0457809218162462
0,8,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-42.0260112934781,334260.29612149583,1.0345890394057773
0,9,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-5.068858865234793,331185.25888106576,6.207007869275214
0,10,1.03247297497105*x_i_0 + 3.143442380313734*(0.001758191003457683*x_i_0 - 1)**2 - 587.2359561279608,0.000426086478911216*x_j_0 - 1787.373977447744*(1 - 2.494286845050339e-5*x_i_0)**2/(-0.9455464994234785*(0.001758191003457683*x_i_0 - 1)**2 - 136.162296908557) + 0.05873045950896661*(0.001758191003457683*x_j_0 - 1)**2 - 0.2423436805632996,0.022222222222222223,0.022222222222222223,-0.9092961877307597,372739.10870696174,2.460444717306761
